Label,Similarity,Predicted_Label
1,0.96148485,1
1,0.75239754,1
1,0.8673712,1
1,0.9508306,1
1,0.8095734,1
1,0.8415939,1
1,0.93288535,1
1,0.68413794,1
1,0.7611172,1
1,0.85007215,1
1,-0.080386154,0
1,-0.05957951,0
1,0.9726307,1
1,0.64498526,1
1,0.74232256,1
1,-0.058719497,0
1,-0.08274654,0
1,0.6331595,1
1,0.9269534,1
1,-0.013831472,0
1,0.9475187,1
1,0.8062905,1
1,-0.06479244,0
1,-0.049241837,0
1,-0.0027260014,0
1,0.95497996,1
1,0.9752873,1
1,-0.11810073,0
1,-0.053060886,0
1,0.843473,1
1,-0.085523486,0
1,-0.033593897,0
1,-0.065344945,0
1,-0.0044483263,0
1,0.8508963,1
1,0.86062086,1
1,-0.11322081,0
1,-0.019452022,0
1,0.65945864,1
1,-0.06315308,0
1,0.644893,1
1,0.7829415,1
1,-0.038317412,0
1,-0.06811155,0
1,0.64737236,1
1,0.9167978,1
1,-0.007310158,0
1,0.9335737,1
1,0.53440446,1
1,-0.023595322,0
1,-0.058437925,0
1,0.43256614,1
1,0.58535963,1
1,0.0033570786,0
1,0.68237555,1
1,0.001879696,0
1,-0.023032313,0
1,0.68234086,1
1,0.7024846,1
1,0.044552922,0
1,0.721187,1
1,0.9527129,1
1,-0.13239257,0
1,-0.02864737,0
1,0.8367037,1
1,-0.060212065,0
1,-0.12936054,0
1,-0.052834988,0
1,0.8234952,1
1,-0.08487655,0
1,0.58275425,1
1,-0.091816716,0
1,0.62974685,1
1,-0.032245208,0
1,0.91108656,1
1,-0.021042818,0
1,0.9795758,1
1,0.21393193,1
1,0.9428383,1
1,0.6061326,1
1,0.95144445,1
1,0.91235846,1
1,0.22172797,1
1,0.9802849,1
1,0.58241946,1
1,0.945555,1
1,0.91494024,1
1,0.22645628,1
1,0.22464311,1
1,0.23172376,1
1,0.23897485,1
1,0.55120015,1
1,0.92336744,1
1,0.88818306,1
1,0.5871269,1
1,0.56997466,1
1,0.90796494,1
1,0.9047921,1
1,0.9693917,1
1,0.9589264,1
1,0.7764368,1
1,0.6834125,1
1,0.89436024,1
1,0.86551285,1
1,0.7312597,1
1,0.6102466,1
1,0.9414751,1
1,0.8194662,1
1,0.69267267,1
1,0.7950408,1
1,0.6812749,1
1,0.74343437,1
1,0.8021247,1
1,0.8982253,1
1,0.9583733,1
1,0.95276976,1
1,0.5395463,1
1,0.7217631,1
1,0.8050014,1
1,0.83773994,1
1,0.56694484,1
1,0.8856489,1
1,0.86673397,1
1,0.4887271,1
1,0.91993856,1
1,0.54306036,1
1,0.54148847,1
1,0.63033825,1
1,0.49339768,1
1,0.5256932,1
1,0.48564813,1
1,0.4368669,1
1,0.95870185,1
1,0.5160236,1
1,0.632962,1
1,0.7796064,1
1,0.5592103,1
1,0.54594654,1
1,0.5001537,1
1,0.956133,1
1,0.3629669,1
1,0.9568413,1
1,0.62480915,1
1,0.4952495,1
1,0.629847,1
1,0.50444645,1
1,0.63698816,1
1,0.5329188,1
1,0.5258107,1
1,0.5048002,1
1,0.49547094,1
1,0.6172195,1
1,0.51239556,1
1,0.419752,1
1,0.5336423,1
1,0.5728894,1
1,0.8143615,1
1,0.50026006,1
1,0.61743015,1
1,0.43870237,1
1,0.63919073,1
1,0.95957583,1
1,0.5304735,1
1,0.98497343,1
1,0.56375897,1
1,0.93091947,1
1,0.41522738,1
1,0.8948998,1
1,0.30300438,1
1,0.4940678,1
1,0.4166773,1
1,0.31126544,1
1,0.4073414,1
1,0.4394391,1
1,0.537798,1
1,0.40443182,1
1,0.47896397,1
1,0.78838366,1
1,0.46387655,1
1,0.53307486,1
1,0.94739985,1
1,0.5357011,1
1,0.94685227,1
1,0.49220714,1
1,0.35465997,1
1,0.7164379,1
1,0.50529855,1
1,0.96002954,1
1,0.31587142,1
1,0.40952262,1
1,0.9318754,1
1,0.45225716,1
1,0.8935512,1
1,0.49069625,1
1,0.2677674,1
1,0.508224,1
1,0.5275801,1
1,0.3711572,1
1,0.5348655,1
1,0.40360013,1
1,0.49233195,1
1,0.2661364,1
1,0.4742778,1
1,0.35568312,1
1,0.2651348,1
1,0.3803335,1
1,0.37225357,1
1,0.49168682,1
1,0.38606825,1
1,0.49302322,1
1,0.6985417,1
1,0.44847003,1
1,0.49852046,1
1,0.87836474,1
1,0.5046277,1
1,0.84980524,1
1,0.49755302,1
1,0.41278625,1
1,0.7036453,1
1,0.37095478,1
1,0.4554382,1
1,0.79415065,1
1,0.505886,1
1,0.59956723,1
1,0.415419,1
1,0.29508176,1
1,0.40797934,1
1,0.5058385,1
1,0.27502647,1
1,0.5251908,1
1,0.32959026,1
1,0.47904453,1
1,0.51437527,1
1,0.65630776,1
1,0.76313823,1
1,0.53904706,1
1,0.52061033,1
1,0.4938654,1
1,0.9515121,1
1,0.3742275,1
1,0.92658556,1
1,0.6219061,1
1,0.51374805,1
1,0.61161476,1
1,0.5067839,1
1,0.62675935,1
1,0.32514793,1
1,0.40302685,1
1,0.8996566,1
1,0.43884274,1
1,0.8952849,1
1,0.49332595,1
1,0.2909958,1
1,0.5015442,1
1,0.51491386,1
1,0.39495254,1
1,0.5115973,1
1,0.40578446,1
1,0.48933277,1
1,0.7156981,1
1,0.38478908,1
1,0.4289654,1
1,0.2771388,1
1,0.6334571,1
1,0.29481047,1
1,0.6429685,1
1,0.4548041,1
1,0.307429,1
1,0.42615098,1
1,0.3670755,1
1,0.46073171,1
1,0.46514168,1
1,0.5690114,1
1,0.3744182,1
1,0.7622484,1
1,0.3826104,1
1,0.8359334,1
1,0.5447827,1
1,0.4304305,1
1,0.54831934,1
1,0.43918946,1
1,0.53195214,1
1,0.4901441,1
1,0.81827843,1
1,0.5268994,1
1,0.3063013,1
1,0.54584295,1
1,0.5808395,1
1,0.39532977,1
1,0.5881864,1
1,0.45437774,1
1,0.5493516,1
1,0.42249092,1
1,0.5174264,1
1,0.5358177,1
1,0.568285,1
1,0.8186752,1
1,0.54474753,1
1,0.85981655,1
1,0.5601404,1
1,0.77672327,1
1,0.5095454,1
1,0.27129194,1
1,0.47961006,1
1,0.50224,1
1,0.39644945,1
1,0.49633524,1
1,0.38802788,1
1,0.48891112,1
1,0.34703714,1
1,0.92290545,1
1,0.6141656,1
1,0.49668238,1
1,0.61251587,1
1,0.48596886,1
1,0.6482622,1
1,0.36655888,1
1,0.45247942,1
1,0.8000468,1
1,0.45075265,1
1,0.82788366,1
1,0.41247293,1
1,0.6359262,1
1,0.4736667,1
1,0.6409314,1
1,0.49214086,1
1,0.651735,1
1,0.5406437,1
1,0.9560013,1
1,0.5656794,1
1,0.9318122,1
1,0.5296522,1
1,0.91211396,1
1,0.49059746,1
1,0.5658743,1
1,0.91688544,1
1,0.52985126,1
1,0.9753282,1
1,0.53435695,1
1,0.932919,1
1,0.96140087,1
1,0.3128653,1
1,0.93556166,1
1,0.4956143,1
1,0.9054301,1
1,0.9428066,1
1,0.30846074,1
1,0.9677505,1
1,0.5799554,1
1,0.56818247,1
1,0.26343322,1
1,0.46860388,1
1,0.93968564,1
1,0.34410548,1
1,0.8826376,1
1,0.35661316,1
1,0.90477914,1
1,0.30372795,1
1,0.7909399,1
1,0.8954086,1
1,0.962161,1
1,0.98056835,1
1,0.73827726,1
1,0.8200676,1
1,0.85003597,1
1,0.8971807,1
1,0.8931971,1
1,0.9617906,1
1,0.6593649,1
1,0.69075894,1
1,0.7073398,1
1,0.60496205,1
1,0.6621812,1
1,0.7064977,1
1,0.64200336,1
1,0.5320964,1
1,0.10548214,0
1,0.6277746,1
1,0.43086663,1
1,0.60849696,1
1,0.61364716,1
1,0.7931678,1
1,0.5810365,1
1,0.56412405,1
1,0.6130981,1
1,0.1001633,0
1,0.5739087,1
1,0.62981004,1
1,0.47009805,1
1,0.60721385,1
1,0.47076052,1
1,0.6481117,1
1,0.68062365,1
1,0.66899407,1
1,0.7044461,1
1,0.57119536,1
1,0.52627516,1
1,0.47732958,1
1,0.5897578,1
1,0.9588075,1
1,0.7006145,1
1,0.58084697,1
1,0.642031,1
1,0.8543638,1
1,0.40085733,1
1,0.6264173,1
1,0.9597224,1
1,0.6695182,1
1,0.3773574,1
1,0.6982054,1
1,0.22858809,1
1,0.6947291,1
1,0.61651945,1
1,0.54981464,1
1,0.42498538,1
1,0.6349226,1
1,0.35868755,1
1,0.63976765,1
1,0.6625606,1
1,0.5497256,1
1,0.6613393,1
1,0.6601363,1
1,0.6935574,1
1,0.8462326,1
1,0.13475801,0
1,0.59093153,1
1,0.34607905,1
1,0.54342544,1
1,0.6855739,1
1,0.5630325,1
1,0.5345787,1
1,0.55482036,1
1,0.4181448,1
1,0.016147263,0
1,0.49709627,1
1,0.6403815,1
1,0.4329947,1
1,0.82518506,1
1,0.43900773,1
1,0.6838396,1
1,0.66276145,1
1,0.97202665,1
1,0.6463075,1
1,0.50494266,1
1,0.45786926,1
1,0.5558601,1
1,0.587926,1
1,0.6556522,1
1,0.655955,1
1,0.5415743,1
1,0.94404626,1
1,0.59889746,1
1,0.5885683,1
1,0.48821422,1
1,0.6607111,1
1,0.65091777,1
1,0.36037418,1
1,0.628039,1
1,0.20144115,1
1,0.66416645,1
1,0.64726025,1
1,0.5556474,1
1,0.38117844,1
1,0.62825185,1
1,0.30908933,1
1,0.65278685,1
1,0.6351384,1
1,0.67567664,1
1,0.6621869,1
1,0.7050851,1
1,0.5704905,1
1,0.162441,1
1,0.5991424,1
1,0.45551977,1
1,0.6437617,1
1,0.67329466,1
1,0.62328255,1
1,0.6130304,1
1,0.5875394,1
1,0.5316157,1
1,0.09896037,0
1,0.7879176,1
1,0.67067575,1
1,0.53382987,1
1,0.58697677,1
1,0.5104592,1
1,0.68888754,1
1,0.6349861,1
1,0.65158826,1
1,0.68442935,1
1,0.5976644,1
1,0.52572745,1
1,0.57789284,1
1,0.5791893,1
1,0.70614237,1
1,0.64695185,1
1,0.5643535,1
1,0.6537367,1
1,0.6288973,1
1,0.42201722,1
1,0.5791387,1
1,0.6958743,1
1,0.67944455,1
1,0.47021624,1
1,0.6382653,1
1,0.21213649,1
1,0.9485044,1
1,0.6563744,1
1,0.84741783,1
1,0.4418025,1
1,0.95662826,1
1,0.4788756,1
1,0.5839071,1
1,0.6762395,1
1,0.754191,1
1,0.60227233,1
1,0.58113295,1
1,0.10810803,0
1,0.6888328,1
1,0.5214548,1
1,0.6063493,1
1,0.5725517,1
1,0.6563145,1
1,0.54146487,1
1,0.60088325,1
1,0.4747976,1
1,0.09538815,0
1,0.6008145,1
1,0.6575684,1
1,0.4608022,1
1,0.59450173,1
1,0.46147236,1
1,0.6105727,1
1,0.9504231,1
1,0.6603883,1
1,0.75096005,1
1,0.597062,1
1,0.5363237,1
1,0.46653077,1
1,0.83365315,1
1,0.69048387,1
1,0.72176474,1
1,0.6650949,1
1,0.661722,1
1,0.6057099,1
1,0.40781987,1
1,0.77714276,1
1,0.73428786,1
1,0.69192183,1
1,0.5191821,1
1,0.95102006,1
1,0.18810934,1
1,0.6769054,1
1,0.6061076,1
1,0.58882684,1
1,0.39770916,1
1,0.63851035,1
1,0.36535978,1
1,0.6255463,1
1,0.51972723,1
1,0.6237496,1
1,0.49270454,1
1,0.09973619,0
